term,doc_freq,mean_tfidf
patient,3722,0.01308499403850837
risk,2741,0.009883837727203556
group,1954,0.009660233424279985
disease,4659,0.00817017900448594
model,2977,0.008132915447890342
stroke,1104,0.008001206635930342
cancer,1050,0.007861746205238586
cognitive,1084,0.007774687840539445
treatment,2397,0.007606004068874171
outcome,2469,0.0074947173138709905
year,2112,0.007249940770593997
clinical,3513,0.007249654508181835
high,3083,0.007192356437836511
age,2265,0.00718987399803387
ipi,651,0.006942955643776678
level,1848,0.006772250969389184
association,1731,0.006741861778535925
effect,2300,0.006735883956186569
increase,2872,0.006647469020282336
case,1266,0.006626547595413073
control,1950,0.006574923401393189
mouse,760,0.00651653257769351
diabetes,1239,0.0064772076384588245
study,2165,0.006455674553754582
therapy,1698,0.006441613757414316
factor,2030,0.006430634240132046
brain,1234,0.0063133655115603935
target,1967,0.006038808532101076
health,1488,0.0059874015559140325
low,1917,0.005927279940853181
article,337,0.005873343436865783
include,4211,0.005856595198912408
function,1736,0.005839962872522234
score,1263,0.005838929025282344
mortality,904,0.0058293490128341
datum,2574,0.005762641634523717
participant,1366,0.005744700017105059
disorder,1599,0.005734983768416155
tumor,618,0.005715364896563714
care,1056,0.005698089833672413
hypertension,1074,0.005620009807013443
reduce,2178,0.005605025360518082
potential,2423,0.005513341878411635
intervention,1526,0.005511030080065751
mechanism,1715,0.005503023637941725
individual,1465,0.005501121043924482
review,1699,0.00549563186435954
cardiovascular,1056,0.005481215273134566
significant,2445,0.005470427548122399
therapeutic,1731,0.005448941806182579
test,1449,0.005442538060465176
compare,2143,0.005424179780781148
improve,2238,0.005371766362695445
among,1862,0.005329015444124355
early,1579,0.005287419653331147
rate,1421,0.005223255561069113
change,1380,0.005215834760654244
activity,1125,0.005203849801491847
identify,2095,0.005199299712009339
metabolic,831,0.005154317103560414
image,1024,0.005127126740611601
biomarker,983,0.005118506199241348
cohort,1462,0.005096395553496205
dementia,504,0.0050898619942685505
remain,3134,0.005081820142797669
signal,1052,0.005079083408020995
role,1585,0.005043124455881321
symptom,944,0.005034228274130951
across,1870,0.004952842774599247
system,1395,0.004919732979839023
strategy,1905,0.004912523152999967
can,1586,0.004887504472479194
trial,1081,0.004878391244879877
type,1205,0.0048642672550924795
finding,2669,0.004851180819618932
month,869,0.004842904847783445
present,1357,0.004830498471843236
result,1829,0.004802636149764171
functional,1092,0.004800133931600042
evidence,1617,0.0047932468650719665
day,814,0.004784135551921602
support,1861,0.004752103138396899
blood,957,0.004722170477451614
time,1213,0.0047179682006715665
reveal,1723,0.004710825967888644
adult,1155,0.004702113358980602
use,1137,0.004701759327473833
response,1055,0.004690992544014349
correct,94,0.004653896253577346
diagnosis,1041,0.004642676236177778
research,1312,0.004556245734025365
approach,1491,0.004550285618230947
alzheimers,1211,0.004532084503722526
survival,655,0.004509054104877452
management,1188,0.0044969729054093275
difference,1277,0.004495075581668461
woman,600,0.004474364146152892
parkinsons,1137,0.004441886930549658
complication,819,0.004436641557251782
demonstrate,1813,0.004429720613956821
molecular,915,0.004424727674650051
motor,584,0.004380302364856448
mitochondrial,411,0.004372202679489774
condition,1131,0.004324327479916123
progression,972,0.004320780657547974
index,931,0.004317620952388518
dysfunction,988,0.004313435797956006
highlight,1724,0.004310961286045749
analysis,1404,0.004299148323227365
primary,1376,0.0042961743900935805
ratio,1167,0.004285161273333055
sleep,288,0.00427499122462623
population,1217,0.0042572465186071955
chronic,1014,0.004250429489399157
follow,1486,0.004231084916472187
enhance,1304,0.004192541416968414
assessment,1319,0.004173515441338545
stress,709,0.004173280923541509
assess,1748,0.004167599245067353
tissue,745,0.00416516530143386
diagnostic,806,0.0041643388548449475
event,820,0.004125950691160829
genetic,596,0.0041248968752240645
live,594,0.004117021490820631
report,1060,0.004114557071371869
mean,1079,0.004111720807812308
aim,2153,0.004095689780207816
without,1169,0.004087061114468982
drug,636,0.004075886689874248
human,788,0.004056746994776892
feature,852,0.004052119227952425
lead,1250,0.00405064242199744
within,1251,0.00404561299110338
performance,940,0.0040355433144044625
cardiac,511,0.004027194970435003
limit,1562,0.003979547306518046
development,1065,0.0039786944771699065
baseline,861,0.003974957078538056
injury,641,0.003966388638667729
evaluate,1583,0.003955508741501307
two,1177,0.003953825044894967
undergo,1140,0.003951635051311499
show,1199,0.003946551094193346
immune,570,0.003936751290832893
key,1343,0.003933339509644086
provide,1376,0.003925937518312114
need,1406,0.003924509353795878
network,716,0.003920239257739635
develop,1142,0.003917446300800804
pressure,585,0.003912808796061087
cause,1056,0.003912470260577893
total,1332,0.003907526222285871
variant,315,0.003903527865559888
stage,645,0.0038941427403886234
interaction,811,0.0038908130565208808
observe,1364,0.0038852210520034323
regression,1244,0.0038852106131812203
inhibitor,612,0.0038845753793756693
screen,763,0.003847224133972011
quality,768,0.0038351010098452106
advance,980,0.003818879897654655
vascular,570,0.003817844071241203
week,579,0.003808771292122359
challenge,1109,0.0037745571725712975
heart,636,0.0037427602788573
syndrome,564,0.0037216537088270133
perform,1388,0.0037164682074566245
receptor,602,0.00371303948663822
pathway,930,0.0037093955853880114
understand,1084,0.003707706128646923
pain,301,0.0036917467913910366
value,884,0.00368144992625242
followup,955,0.003661494126390641
analyze,1331,0.0036612870818294465
acute,716,0.0036432305456946365
impairment,780,0.003630754567577524
tau,289,0.0036209100766656298
measure,1042,0.0036202126251918087
exhibit,1120,0.0036187084621652865
conduct,1608,0.0036135468554793796
infection,415,0.003613377287219172
base,1162,0.0036117260539869395
kidney,440,0.003611716432361476
process,889,0.00360726151893522
burden,735,0.0035861893560909085
suggest,1174,0.003560995956713027
receive,803,0.0035597781586504847
neurological,645,0.0035596900777062814
neurodegenerative,777,0.0035576653764668393
death,684,0.003551776333391715
old,650,0.0035434099165283163
neuron,428,0.003534962946848835
diabetic,379,0.0035226622662730637
integrate,1073,0.0035202769890592686
combine,870,0.003515329226854981
severe,650,0.003511488878180027
loss,708,0.0035088286420431668
activation,645,0.0035055950188690533
novel,900,0.003500775734828334
efficacy,849,0.0034965360694769873
decrease,847,0.003489394416451512
pathology,624,0.0034838445463757015
inflammatory,663,0.0034756939187869113
relationship,827,0.003454864200251492
common,1002,0.0034332747279589367
profile,866,0.003419312654644359
overall,1009,0.003413114870672648
elevate,838,0.0034115492438559275
emerge,1006,0.003408109533078799
link,996,0.003401468824531548
establish,999,0.0033973403479348814
marker,779,0.0033961072045877384
impact,943,0.003395379937973599
female,674,0.00338981381373017
due,1023,0.0033885219819989928
characterize,1060,0.0033791931896999285
sample,831,0.003378084023553044
neuronal,511,0.0033701765535319823
inflammation,608,0.0033560683562562955
promise,987,0.0033545270379901643
treat,791,0.0033492444913610377
current,966,0.0033416460368099615
pulmonary,325,0.00333762368739979
median,723,0.003336906495192935
surgery,461,0.0033363433645859698
male,756,0.0033321910404856005
multiple,972,0.0033281380070949787
muscle,254,0.0033187047613971055
prevalence,527,0.0033139904633673434
particularly,1119,0.0033101569066631676
one,887,0.003293878920974821
exposure,469,0.0032875337753538085
confirm,964,0.0032869701794140302
region,618,0.0032838215921261967
via,885,0.0032794840369585482
lipid,435,0.0032767401088016823
pattern,707,0.00327638703738684
contribute,951,0.0032661980471078624
achieve,855,0.0032542614745353095
ischemic,497,0.0032433837115482165
predict,694,0.00322779525391126
adverse,716,0.0032252415473620474
status,702,0.003221887886475309
plasma,382,0.0032194752006927748
decline,623,0.0032176299532348848
incidence,518,0.003215867033951494
complex,742,0.0032131698764521857
systemic,610,0.003212155688085424
glucose,366,0.0032102497157092
promote,697,0.0032087576473976472
longterm,734,0.0031927613169681745
sensitivity,597,0.003187664960335225
monitor,687,0.0031795603491705745
three,835,0.0031748283091743604
require,920,0.003174343222755534
artery,479,0.003169462088624801
induce,654,0.0031650411880122073
adjust,748,0.0031496450353325632
protein,401,0.0031392843307638976
major,894,0.003136958959681227
weight,517,0.003134064421976951
will,409,0.003131301504263734
explore,932,0.0031299067335927985
good,808,0.003127984503161494
life,635,0.0031184593558422893
framework,744,0.0031182152191140157
healthy,619,0.003114364041697061
child,243,0.0031035460514986075
respectively,769,0.0031031875089704477
train,466,0.0030990847120980405
although,981,0.0030972067915958305
new,682,0.003088852903960796
safety,619,0.003088315382331998
coronary,332,0.0030868648343795346
indicate,1002,0.003085024315984032
affect,809,0.0030849396943407104
correlation,589,0.003080718603531339
scale,678,0.003066674782136684
dynamic,561,0.003066269822146791
serum,383,0.003061083594799735
structure,647,0.0030572524471965483
characteristic,896,0.003055754713996596
involve,876,0.00305097280877457
improvement,674,0.0030487214995448125
volume,390,0.0030183160704237407
leave,453,0.0030178209478953625
effective,833,0.0030023175812181994
offer,884,0.0029983161940170854
central,774,0.002993004910776829
acid,432,0.0029902985153856545
renal,328,0.0029799427780544774
insulin,259,0.0029772521339283885
reduction,635,0.0029694730292807166
diagnose,636,0.0029645026696579657
relate,766,0.002955102083283039
severity,486,0.0029512809860456793
whether,840,0.002944296389116978
sex,618,0.0029397735103188207
body,618,0.0029360784970168825
detection,500,0.002933746703100377
define,828,0.0029324746922199923
design,758,0.0029291574528802575
evaluation,726,0.0029273627289504757
critical,811,0.0029249435376164936
examine,879,0.002921325253877672
cerebral,373,0.002917022612985973
estimate,715,0.0029135283691902113
independent,677,0.0029099604045138994
lesion,332,0.00290801202090327
hospital,629,0.0029037717406802015
rat,251,0.0028989998908028843
great,778,0.002893080211065174
influence,757,0.002883561069317919
large,778,0.002883253999443595
future,902,0.0028831390972749796
underlie,760,0.0028667641889731843
tdm,163,0.0028664993866645712
people,412,0.0028570421496129975
focus,808,0.0028553438683781227
compound,306,0.0028527184906422245
dose,361,0.0028517746606490364
surgical,395,0.0028511972699095923
benefit,725,0.0028466064749686584
experience,632,0.002840032934119879
metabolism,475,0.002837716564487065
tool,738,0.002837330249140093
first,736,0.0028372231052774914
rare,461,0.002837030575667432
despite,837,0.0028354889463438147
represent,807,0.0028345983877383803
oxidative,459,0.0028279606932553256
failure,529,0.0028214498913300737
mri,351,0.0028132282550941386
occur,688,0.0028026706354105932
often,782,0.002797525625181062
different,673,0.0027864020381739747
range,728,0.0027825430250065543
correlate,611,0.0027742478517973185
global,595,0.002773433683224993
sequence,468,0.002769574335568656
mutation,261,0.002750472066369326
validation,589,0.0027497578395821102
obesity,312,0.002747559192568532
yet,813,0.002746156630825243
depression,269,0.002746063943549987
state,562,0.0027411075837716434
learn,485,0.0027288833547005967
resistance,379,0.002725029416874542
medical,594,0.002719370830534718
