cluster,neighbor,sil_width
2,6,0.06782859874604187
8,6,0.42769437279458605
6,8,0.181339600415998
1,4,0.4626982400425917
1,4,0.5076970800484248
7,8,0.20423629881878333
3,4,0.5408471940368043
2,5,0.23758557371756844
3,1,0.03985581313507818
1,4,0.46079458881164703
8,6,0.5701344714384767
5,7,0.3958215355298198
4,1,0.3858485778777383
4,1,0.40273855953346854
6,8,0.27207647792094447
6,8,0.1451016856393973
5,7,0.2198901224685776
6,8,0.14098064093225493
4,1,0.234374331493813
5,7,0.14952776567368647
6,8,0.3470227801168562
5,7,0.10073795133294487
8,6,0.42274841290363696
3,1,0.1911281031840879
8,6,0.055636017503001824
6,8,0.46570322635380074
1,4,0.4691958206099156
1,4,0.44412795299310903
6,8,0.31788559061907123
8,7,0.5301394756724656
6,8,0.2827970931803009
6,8,0.27770381920126097
8,6,0.44601248434317
5,7,0.4106091157351559
4,1,0.24237605498603917
5,3,0.35242913068012305
7,8,0.31516536228158526
7,8,0.15977491877903532
4,1,0.3280059242729535
5,7,0.4709918393527303
1,4,0.5732653852546996
8,5,0.2792241578793849
6,8,0.2656862886335065
6,8,0.18631358293758604
6,8,0.29495845711395957
6,2,0.4099602158598273
1,5,0.2685395085492976
3,1,-0.009616219069865617
6,8,0.435898740152817
1,5,0.4457999762879815
5,1,0.20290434626846648
2,3,0.4402128120450736
6,2,0.44856939609029217
8,6,0.1018164975095439
8,6,0.5425086442138021
1,4,0.4426074552578247
2,6,0.4166504418143921
4,1,0.5519361919629767
7,8,0.34563405793999136
6,8,0.19155675779933054
1,5,0.3607855539884299
4,1,0.4798830176447541
1,5,0.2553320495967012
6,5,-0.0031984040147962096
6,8,0.4579914860808855
6,8,0.4702128168474602
6,2,0.17060632458957312
5,7,0.0942225091563391
8,6,0.4414053339356637
4,1,0.1446527446712966
6,8,0.3355598443427819
1,5,0.25165146556269535
5,3,0.5269504677821245
5,3,0.516389112669115
5,1,0.08248452910417105
5,3,0.5017780689642733
6,8,0.29313951504882846
8,5,0.5411066402580793
1,4,0.046134823048496684
6,8,0.31596826562334934
2,6,0.216866427515448
2,5,0.1622697884718224
5,3,0.32689222024403
5,3,-0.0037458742874067813
5,3,0.2814505180429851
5,3,0.3572978826787487
5,3,0.3105352463330147
6,8,-0.0199448136091838
6,8,0.46718673120115134
6,2,0.14044591585158067
6,8,0.2646639707563143
8,7,0.38953467229215527
5,8,0.31636434914937295
8,6,0.5021968438239186
6,8,0.4301857300685952
2,6,0.1044156282607454
2,5,0.1845130187670283
6,2,0.06948611374092926
6,8,0.4192289584417151
8,6,0.6090839507184866
4,1,0.437153934304275
6,8,0.16649759514101023
6,8,0.4377686304683711
8,6,0.44465449305663163
8,6,0.4432388978750164
1,3,0.14624543772589166
8,6,0.21467396451041457
4,1,0.13133902426957875
3,5,0.14212933589892415
3,1,0.08911174387186069
6,8,0.12643334861713323
8,6,0.34289723181744913
1,4,0.24914827222938657
5,7,0.5377179316464831
8,6,0.06194709963456676
8,6,0.4522490684441504
3,2,0.25091088613979956
7,5,0.13388725220065595
1,4,0.33820673607577884
5,3,0.44366455309216074
8,6,0.23347937232895738
8,6,0.3024508855151685
6,8,0.13457170044312258
8,6,0.5136008315534962
1,4,0.511080032533968
2,6,0.047908099520862835
6,2,0.09527763387910543
5,3,0.562117158587252
7,5,0.19545483416381992
2,6,0.39616751837090525
8,5,0.11482780418468344
8,6,0.39830783938222164
8,5,0.3081471139091271
8,5,0.3263999889343916
5,8,0.023341666697612003
1,3,0.056068628896414785
5,7,0.5824053306457605
6,8,0.0037591110106750918
1,3,0.3162122932480036
2,6,0.0803955396265259
3,4,0.6093089037337721
5,7,0.441850120873594
8,5,0.15973561896471122
1,5,0.31346580016182146
8,6,0.12547335935139983
6,2,0.2617917187233286
2,6,0.21806995362592135
8,6,0.4457136271769917
8,6,0.20307051117433597
8,6,0.2753485103886529
5,1,0.5712772890056605
5,3,0.565723167330374
5,8,0.034882900338484776
7,8,0.06249321291043483
5,7,0.22460003009827895
5,2,0.30503702391456317
6,8,0.45054122208104624
5,7,0.4579992071040602
8,5,0.2922531814881582
8,6,0.5860847792560675
1,3,0.3782759294890498
5,2,0.13862607313441017
1,4,0.41175334255060536
1,3,0.14983177035089978
3,4,0.3370571323201482
1,4,0.45177375677733733
6,8,0.48690859420130056
8,6,0.08268937927127852
6,8,0.18284954265110248
8,6,0.3354809732806474
8,5,0.10640737212261127
2,6,0.23607159683441684
6,2,0.2973190614092119
5,2,0.31876080408543916
5,8,0.09355362097516516
3,4,0.5014114633124466
1,4,0.4753399258626761
5,8,0.5470060826813157
6,2,0.32571405774440015
8,6,0.491420181191818
8,6,0.4507886804172915
5,1,0.4232740906228727
5,7,0.13074831093881925
8,6,0.20595785408583672
1,4,0.11128592994247231
1,4,-0.04119400767273834
3,4,0.5834002010444745
3,1,0.14688281441200138
6,8,0.029469460082977468
6,2,0.5763127182734605
6,8,0.5384193407201696
6,2,0.5353919697757824
6,8,0.32214430682630596
1,5,0.3609519538479432
1,3,0.13346338551892073
6,8,0.13927621317435102
6,8,0.18389989255677489
1,5,0.3320049309663237
6,2,0.5466237923197013
1,4,0.37947634559492177
8,7,0.22322566653670384
8,6,0.5382717542704306
1,5,0.3886789701171311
6,8,0.08992049848981112
5,1,0.12983552111126134
5,7,0.4562963817519128
4,1,0.24299584148534198
5,8,0.44483020473563784
6,8,0.1656917558726759
4,1,0.5904568545937761
5,8,0.34768419957509616
8,6,0.5310714974065219
5,7,0.6259613364517737
6,8,0.1580428267901741
2,6,0.03212944908666873
1,4,0.5363768799477225
1,3,0.028213633837095378
2,6,0.32218116287968124
5,3,0.47108344932127083
6,8,0.5763554960051355
6,2,0.4283329273310979
8,7,0.3788105113435217
8,6,0.3329713613681497
8,6,0.24680161147868296
8,6,0.03783194196911498
8,7,0.2917066144950409
5,8,0.3930260292544131
3,5,0.05285061187826142
8,6,0.22439311237725568
6,2,0.17280041074648955
1,3,0.22027727622455057
1,5,0.24692245746532548
6,8,0.11986156946296388
8,7,0.4464090467100703
8,6,0.49985703781036317
8,6,0.2849044021635351
6,8,0.04208989800245123
